Finish No.446 image, Processing time : 8.964026689529419
Finish No.447 image, Processing time : 9.006747484207153
Finish No.448 image, Processing time : 9.004778623580933
Finish No.449 image, Processing time : 8.984806537628174
Finish No.450 image, Processing time : 8.734869003295898
Finish No.451 image, Processing time : 9.174732208251953
Finish No.452 image, Processing time : 8.770589590072632
Finish No.453 image, Processing time : 8.958247423171997
Finish No.454 image, Processing time : 8.87960410118103
Finish No.455 image, Processing time : 9.088709592819214
Finish No.456 image, Processing time : 8.87446665763855
Finish No.457 image, Processing time : 8.976715087890625
Finish No.458 image, Processing time : 8.874935626983643
Finish No.459 image, Processing time : 8.859402894973755
Finish No.460 image, Processing time : 8.929960489273071
Finish No.461 image, Processing time : 8.930134057998657
Finish No.462 image, Processing time : 8.880160093307495
Finish No.463 image, Processing time : 8.88530445098877
Finish No.464 image, Processing time : 9.088968992233276
Finish No.465 image, Processing time : 9.004358053207397
Finish No.466 image, Processing time : 8.659809350967407
Finish No.467 image, Processing time : 8.852211475372314
Finish No.468 image, Processing time : 9.08206057548523
Finish No.469 image, Processing time : 8.82179045677185
Finish No.470 image, Processing time : 8.769222736358643
Finish No.471 image, Processing time : 8.960512161254883
Finish No.472 image, Processing time : 8.826328754425049
Finish No.473 image, Processing time : 8.874112367630005
Finish No.474 image, Processing time : 8.851974725723267
Finish No.475 image, Processing time : 9.09995722770691
Finish No.476 image, Processing time : 8.913737297058105
Finish No.477 image, Processing time : 8.865511655807495
Finish No.478 image, Processing time : 8.86931037902832
Finish No.479 image, Processing time : 7.307490348815918
Finish No.480 image, Processing time : 8.362166404724121
Finish No.481 image, Processing time : 7.176050186157227
Finish No.482 image, Processing time : 8.291692018508911
Finish No.483 image, Processing time : 7.118471384048462
Finish No.484 image, Processing time : 6.742791175842285
Finish No.485 image, Processing time : 6.886341333389282
Finish No.486 image, Processing time : 6.713059663772583
Finish No.487 image, Processing time : 6.801168918609619
Finish No.488 image, Processing time : 6.6952965259552
Finish No.489 image, Processing time : 6.568570852279663
Finish No.490 image, Processing time : 6.761228084564209
Finish No.491 image, Processing time : 6.583185195922852
Finish No.492 image, Processing time : 6.855247974395752
Finish No.493 image, Processing time : 6.719215154647827
Finish No.494 image, Processing time : 6.938366413116455
Finish No.495 image, Processing time : 6.798552989959717
Finish No.496 image, Processing time : 6.77687668800354
Finish No.497 image, Processing time : 6.479748249053955
Finish No.498 image, Processing time : 6.870875835418701
