Finish No.518 image, Processing time : 4.531718969345093
Finish No.519 image, Processing time : 4.821963310241699
Finish No.520 image, Processing time : 4.663280248641968
Finish No.521 image, Processing time : 4.717289447784424
Finish No.522 image, Processing time : 4.745074987411499
Finish No.523 image, Processing time : 4.768664598464966
Finish No.524 image, Processing time : 4.7832300662994385
Finish No.525 image, Processing time : 4.796621561050415
Finish No.526 image, Processing time : 3.8124282360076904
Finish No.527 image, Processing time : 4.80841851234436
Finish No.528 image, Processing time : 4.745694875717163
Finish No.529 image, Processing time : 4.692959308624268
Finish No.530 image, Processing time : 4.643393278121948
Finish No.531 image, Processing time : 4.6596269607543945
Finish No.532 image, Processing time : 4.4654436111450195
Finish No.533 image, Processing time : 4.633978366851807
Finish No.534 image, Processing time : 4.75201678276062
Finish No.535 image, Processing time : 4.696421146392822
Finish No.536 image, Processing time : 4.683011054992676
Finish No.537 image, Processing time : 4.700824499130249
Finish No.538 image, Processing time : 4.721208810806274
Finish No.539 image, Processing time : 4.571749448776245
Finish No.540 image, Processing time : 4.711671829223633
Finish No.541 image, Processing time : 4.66977334022522
Finish No.542 image, Processing time : 4.700677394866943
Finish No.543 image, Processing time : 4.686625242233276
Finish No.544 image, Processing time : 4.601451873779297
Finish No.545 image, Processing time : 4.702473163604736
Finish No.546 image, Processing time : 4.480328559875488
Finish No.547 image, Processing time : 4.801380634307861
Finish No.548 image, Processing time : 4.741497039794922
Finish No.549 image, Processing time : 4.75633430480957
Finish No.550 image, Processing time : 4.7112414836883545
Finish No.551 image, Processing time : 4.642653465270996
Finish No.552 image, Processing time : 4.657183647155762
Finish No.553 image, Processing time : 4.621932506561279
Finish No.554 image, Processing time : 4.717272996902466
Finish No.555 image, Processing time : 4.663478374481201
Finish No.556 image, Processing time : 4.657970666885376
Finish No.557 image, Processing time : 4.691643953323364
Finish No.558 image, Processing time : 4.64698600769043
Finish No.559 image, Processing time : 4.7144083976745605
Finish No.560 image, Processing time : 4.655447244644165
Finish No.561 image, Processing time : 4.678803205490112
Finish No.562 image, Processing time : 4.630716800689697
Finish No.563 image, Processing time : 4.60548996925354
Finish No.564 image, Processing time : 4.665122032165527
Finish No.565 image, Processing time : 4.5580151081085205
Finish No.566 image, Processing time : 4.67328405380249
Finish No.567 image, Processing time : 4.703363656997681
Finish No.568 image, Processing time : 4.705841541290283
Finish No.569 image, Processing time : 4.788405179977417
Finish No.570 image, Processing time : 4.702316999435425
Finish No.571 image, Processing time : 4.809035062789917
Finish No.572 image, Processing time : 4.824937343597412
Finish No.573 image, Processing time : 4.854615688323975
Finish No.574 image, Processing time : 4.772527694702148
Finish No.575 image, Processing time : 4.803120851516724
Finish No.576 image, Processing time : 4.792353868484497
Finish No.577 image, Processing time : 4.781766653060913
Finish No.578 image, Processing time : 4.826333045959473
Finish No.579 image, Processing time : 4.775699138641357
Finish No.580 image, Processing time : 4.782642602920532
Finish No.581 image, Processing time : 4.768264293670654
Finish No.582 image, Processing time : 4.784309148788452
Finish No.583 image, Processing time : 4.800581693649292
Finish No.584 image, Processing time : 4.822855710983276
Finish No.585 image, Processing time : 4.7857983112335205
Finish No.586 image, Processing time : 4.801138639450073
Finish No.587 image, Processing time : 4.805661201477051
Finish No.588 image, Processing time : 4.872921705245972
Finish No.589 image, Processing time : 4.8936920166015625
Finish No.590 image, Processing time : 4.8457255363464355
Finish No.591 image, Processing time : 4.856546878814697
Finish No.592 image, Processing time : 4.737443685531616
Finish No.593 image, Processing time : 4.819169282913208
Finish No.594 image, Processing time : 4.846872806549072
Finish No.595 image, Processing time : 4.823541641235352
Finish No.596 image, Processing time : 4.887924909591675
Finish No.597 image, Processing time : 4.884767293930054
Finish No.598 image, Processing time : 4.885855674743652
Finish No.599 image, Processing time : 4.917031526565552
Finish No.600 image, Processing time : 4.816425561904907
Finish No.601 image, Processing time : 4.975327491760254
Finish No.602 image, Processing time : 4.888488054275513
Finish No.603 image, Processing time : 4.842886447906494
Finish No.604 image, Processing time : 4.842732191085815
